hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,ball_type
3,2,0,0,2,0,0,0,0,0,2.247,error
4,2,0,0,2,0,0,0,0,0,2.068,error
4,2,0,0,2,0,0,0,0,0,2.905,error
4,2,0,0,2,0,0,0,0,0,0.33,netplay
4,2,0,0,2,0,0,0,0,0,1.875,error
4,2,0,0,2,0,0,0,0,0,0.42,error
4,2,0,0,2,0,0,0,0,0,0.35600000000000004,error
4,2,0,0,2,0,0,0,0,0,2.075,long
4,2,0,0,2,0,0,0,0,0,3.253,error
4,2,0,0,2,0,0,0,0,0,0.91,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,2,2,0,0,0,0,0,8.74,error
2,2,0,0,2,0,0,0,0,0,21.421999999999997,error
4,2,0,0,2,0,0,0,0,0,8.381,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.385,error
4,2,0,0,2,0,0,0,0,0,1.028,error
4,2,0,0,2,0,0,0,0,0,0.7390000000000001,error
4,2,0,0,2,0,0,0,0,0,2.344,error
2,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,2,2,0,0,0,0,0,15.029000000000002,error
2,2,0,0,2,0,0,0,0,0,9.017000000000001,error
4,2,0,0,2,0,0,0,0,0,8.775,error
4,2,0,0,2,0,0,0,0,0,14.957,error
4,2,0,0,2,0,0,0,0,0,4.716,error
4,2,0,0,2,0,0,0,0,0,0.462,error
4,2,0,0,2,0,0,0,0,0,6.739,error
4,2,0,0,2,0,0,0,0,0,0.654,error
4,2,0,0,2,0,0,0,0,0,1.85,error
4,2,0,0,2,0,0,0,0,0,1.329,error
4,2,0,2,2,0,0,0,0,0,0.252,error
2,2,0,0,2,0,0,0,0,0,2.312,error
4,2,0,0,2,0,0,0,0,0,14.87,error
4,2,0,0,2,0,0,0,0,0,17.430999999999997,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,1.258,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,2.437,error
4,2,0,0,2,0,0,0,0,0,0.595,error
4,2,0,0,2,0,0,0,0,0,1.5719999999999998,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.595,error
4,2,0,0,2,0,0,0,0,0,0.727,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.94,error
4,2,0,0,2,0,0,0,0,0,1.733,netplay
4,2,0,0,2,0,0,0,0,0,3.366,error
4,2,0,0,2,0,0,0,0,0,0.711,error
4,2,0,0,2,0,0,0,0,0,2.89,netplay
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.49200000000000005,error
4,2,0,0,2,0,0,0,0,0,0.841,error
4,2,0,0,2,0,0,0,0,0,4.7669999999999995,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.7709999999999999,error
4,2,0,0,2,0,0,0,0,0,1.285,error
4,2,0,0,2,0,0,0,0,0,1.393,error
4,2,0,0,2,0,0,0,0,0,0.711,error
4,2,0,0,2,0,0,0,0,0,0.975,error
4,2,0,2,2,0,0,0,0,0,2.102,error
2,2,0,2,2,0,0,0,0,0,2.935,error
2,2,0,0,2,0,0,0,0,0,1.5719999999999998,error
4,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,0,2,0,0,0,0,0,1.125,error
4,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,0,2,0,0,0,0,0,8.667,error
2,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,2,2,0,0,0,0,0,4.395,error
2,2,0,0,2,0,0,0,0,0,14.648,error
4,2,0,0,2,0,0,0,0,0,10.068,error
4,2,0,0,2,0,0,0,0,0,10.607999999999999,error
4,2,0,0,2,0,0,0,0,0,13.229000000000001,error
4,2,0,0,2,0,0,0,0,0,0.0,netplay
4,2,0,0,2,0,0,0,0,0,11.002,error
4,2,0,0,2,0,0,0,0,0,9.665,error
4,2,0,0,2,0,0,0,0,0,13.395,error
4,2,0,0,2,0,0,0,0,0,2.312,error
4,2,0,0,2,0,0,0,0,0,2.2640000000000002,error
4,2,0,0,2,0,0,0,0,0,7.626,error
4,2,0,0,2,0,0,0,0,0,1.09,error
4,2,0,0,2,0,0,0,0,0,0.171,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.284,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.9259999999999999,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,1.516,error
4,2,0,0,2,0,0,0,0,0,1.189,error
4,2,0,0,2,0,0,0,0,0,1.962,error
4,2,0,0,2,0,0,0,0,0,0.308,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,1,2,0,0,0,0,0,0.7709999999999999,error
3,2,0,0,2,0,0,0,0,0,1.034,error
4,2,0,0,2,0,0,0,0,0,0.6609999999999999,error
4,2,0,0,2,0,0,0,0,0,0.6609999999999999,error
4,2,0,0,2,0,0,0,0,0,0.248,error
4,2,0,2,2,0,0,0,0,0,1.516,error
2,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.517,error
4,2,0,0,2,0,0,0,0,0,0.344,error
4,2,0,0,2,0,0,0,0,0,0.14,netplay
4,2,0,0,2,0,0,0,0,0,0.462,error
4,2,0,0,2,0,0,0,0,0,1.854,error
4,2,0,0,2,0,0,0,0,0,1.695,error
4,2,0,0,2,0,0,0,0,0,2.177,error
4,2,0,0,2,0,0,0,0,0,4.499,cut
4,2,0,2,2,0,0,0,0,0,16.807000000000002,error
2,2,0,0,2,0,0,0,0,0,13.192,error
4,2,0,0,2,0,0,0,0,0,0.462,error
4,2,0,0,2,0,0,0,0,0,0.0,lob
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.462,error
4,2,0,0,2,0,0,0,0,0,0.462,error
4,2,0,0,2,0,0,0,0,0,0.35600000000000004,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.22,error
2,3,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,20.061,error
4,2,0,0,2,0,0,0,0,0,16.873,error
4,2,0,0,2,0,0,0,0,0,1.88,error
4,2,0,0,2,0,0,0,0,0,1.189,error
4,2,0,0,2,0,0,0,0,0,2.813,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,1.271,error
4,2,0,0,2,0,0,0,0,0,3.8539999999999996,error
4,2,0,0,2,0,0,0,0,0,0.795,error
4,2,0,0,2,0,0,0,0,0,4.421,error
4,2,0,0,2,0,0,0,0,0,4.98,error
4,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,0,2,0,0,0,0,0,4.327,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.35600000000000004,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.18899999999999997,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.402,error
4,2,0,0,2,0,0,0,0,0,0.862,error
4,2,0,0,2,0,0,0,0,0,0.22,error
4,2,0,0,2,0,0,0,0,0,0.595,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.595,error
4,2,0,0,2,0,0,0,0,0,0.198,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.7709999999999999,error
4,2,0,0,2,0,0,0,0,0,0.42,error
4,2,0,0,2,0,0,0,0,0,3.93,error
4,2,0,0,2,0,0,0,0,0,1.516,error
4,2,0,0,2,0,0,0,0,0,1.66,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,5.395,error
4,2,0,0,2,0,0,0,0,0,2.4330000000000003,error
4,2,0,2,2,0,0,0,0,0,0.145,error
2,2,0,0,2,0,0,0,0,0,0.35600000000000004,error
4,2,0,0,2,0,0,0,0,0,0.235,error
4,2,0,0,2,0,0,0,0,0,2.805,error
4,2,0,0,2,0,0,0,0,0,1.541,netplay
3,2,0,1,2,0,0,0,0,0,1.1909999999999998,error
3,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.862,long
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.243,error
4,2,0,0,2,0,0,0,0,0,0.991,error
4,2,0,1,2,0,0,0,0,0,1.556,error
3,2,0,0,2,0,0,0,0,0,1.516,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.436,error
4,2,0,0,2,0,0,0,0,0,2.244,error
4,2,0,0,2,0,0,0,0,0,1.308,error
4,2,0,0,2,0,0,0,0,0,3.553,error
4,2,0,0,2,0,0,0,0,0,7.04,error
4,2,0,0,2,0,0,0,0,0,8.517999999999999,error
4,2,0,0,2,0,0,0,0,0,0.42,error
4,2,0,1,2,0,0,0,0,0,0.289,error
3,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,2,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,9.755,error
4,2,0,0,2,0,0,0,0,0,2.451,error
4,2,0,0,2,0,0,0,0,0,2.89,error
4,2,0,0,2,0,0,0,0,0,0.595,error
4,2,0,0,2,0,0,0,0,0,0.248,error
4,2,0,0,2,0,0,0,0,0,4.624,error
4,2,0,0,2,0,0,0,0,0,1.034,error
4,2,0,0,2,0,0,0,0,0,2.068,error
4,2,0,0,2,0,0,0,0,0,0.7709999999999999,error
4,2,0,0,2,0,0,0,0,0,6.029,error
4,2,0,0,2,0,0,0,0,0,0.94,error
4,2,0,0,2,0,0,0,0,0,0.595,error
4,2,0,0,2,0,0,0,0,0,0.841,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.284,error
4,2,0,0,2,0,0,0,0,0,0.201,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,7.117999999999999,error
4,2,0,0,2,0,0,0,0,0,16.683,error
4,2,0,0,2,0,0,0,0,0,12.337,error
4,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,2,2,0,0,0,0,0,0.22,error
2,2,0,0,2,0,0,0,0,0,0.075,error
4,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,2,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,1.284,error
4,2,0,0,2,0,0,0,0,0,0.0,lob
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,2.616,error
4,2,0,0,2,0,0,0,0,0,2.312,error
4,2,0,0,2,0,0,0,0,0,1.88,error
4,2,0,0,2,0,0,0,0,0,0.145,error
4,2,0,0,2,0,0,0,0,0,1.308,error
4,2,0,0,2,0,0,0,0,0,0.925,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,1,2,0,0,0,0,0,0.385,error
3,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.595,error
4,2,0,0,2,0,0,0,0,0,0.462,error
4,2,0,0,2,0,0,0,0,0,0.308,error
4,2,0,2,3,0,0,0,0,0,1.541,error
2,3,0,2,2,0,0,0,0,0,2.023,error
2,2,0,0,2,0,0,0,0,0,15.134,error
4,2,0,2,2,0,0,0,0,0,0.636,error
2,2,0,1,2,0,0,0,0,0,16.442999999999998,netplay
3,2,0,0,2,0,0,0,0,0,18.04,error
4,2,0,0,2,0,0,0,0,0,1.034,lob
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,5.17,error
4,2,0,0,2,0,0,0,0,0,3.468,netplay
4,2,0,0,2,0,0,0,0,0,4.162,error
4,2,0,1,2,0,0,0,0,0,0.731,error
3,2,0,0,2,0,0,0,0,0,0.795,error
4,2,0,0,2,0,0,0,0,0,1.156,error
4,2,0,1,2,0,0,0,0,0,2.659,error
3,2,0,0,2,0,0,0,0,0,5.382999999999999,error
4,2,0,0,2,0,0,0,0,0,0.467,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,3.089,error
4,2,0,0,2,0,0,0,0,0,0.327,error
4,2,0,0,2,0,0,0,0,0,1.034,error
4,2,0,0,2,0,0,0,0,0,1.271,error
4,2,0,0,2,0,0,0,0,0,0.42,error
4,2,0,0,2,0,0,0,0,0,1.308,error
4,2,0,0,2,0,0,0,0,0,0.45,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,1.219,error
4,2,0,0,2,0,0,0,0,0,3.335,error
4,2,0,0,2,0,0,0,0,0,31.02,error
4,2,0,0,2,0,0,0,0,0,13.174000000000001,error
4,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,1,1,0,0,0,0,0,6.7989999999999995,error
3,1,0,0,2,0,0,0,0,0,8.901,error
4,2,0,0,2,0,0,0,0,0,5.47,error
4,2,0,0,2,0,0,0,0,0,0.925,error
4,2,0,1,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,2.244,error
3,2,0,0,2,0,0,0,0,0,0.187,error
4,2,0,1,2,0,0,0,0,0,4.638,error
3,2,0,0,2,0,0,0,0,0,5.702000000000001,error
4,2,0,0,2,0,0,0,0,0,0.841,error
4,2,0,0,2,0,0,0,0,0,0.545,error
4,2,0,1,2,0,0,0,0,0,0.462,error
3,2,0,0,2,0,0,0,0,0,0.409,error
4,2,0,0,2,0,0,0,0,0,1.034,error
4,2,0,0,2,0,0,0,0,0,0.35600000000000004,error
4,2,0,0,2,0,0,0,0,0,0.975,error
4,2,0,0,2,0,0,0,0,0,1.6669999999999998,error
4,2,0,0,2,0,0,0,0,0,1.962,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,6.843,error
4,2,0,0,2,0,0,0,0,0,2.59,error
4,2,0,0,2,0,0,0,0,0,1.125,error
4,2,0,0,2,0,0,0,0,0,0.925,error
4,2,0,0,2,0,0,0,0,0,0.42,error
4,2,0,0,2,0,0,0,0,0,1.308,error
4,2,0,0,2,0,0,0,0,0,0.6890000000000001,error
4,2,0,0,2,0,0,0,0,0,1.034,error
4,2,0,0,2,0,0,0,0,0,1.047,error
4,2,0,0,2,0,0,0,0,0,1.31,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,10.862,lob
4,2,0,0,2,0,0,0,0,0,16.903,error
4,2,0,0,2,0,0,0,0,0,15.125,error
4,2,0,0,2,0,0,0,0,0,0.727,error
4,2,0,1,2,0,0,0,0,0,0.272,error
4,2,0,0,2,0,0,0,0,0,13.921,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.073,error
4,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,1,2,0,0,0,0,0,2.068,netplay
3,2,0,1,2,0,0,0,0,0,1.88,error
3,2,0,1,2,0,0,0,0,0,1.462,lob
3,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,0,2,0,0,0,0,0,2.778,error
4,2,0,0,2,0,0,0,0,0,1.308,error
4,2,0,0,2,0,0,0,0,0,1.516,error
4,2,0,0,2,0,0,0,0,0,1.3869999999999998,error
4,2,0,0,2,0,0,0,0,0,0.654,error
4,2,0,0,2,0,0,0,0,0,0.462,long
4,2,0,0,2,0,0,0,0,0,1.034,error
4,2,0,0,2,0,0,0,0,0,0.0,cut
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,1.09,error
4,2,0,0,2,0,0,0,0,0,1.271,error
4,2,0,0,2,0,0,0,0,0,0.462,error
4,2,0,1,2,0,0,0,0,0,0.0,error
4,2,0,1,2,0,0,0,0,0,0.35600000000000004,error
3,2,0,0,2,0,0,0,0,0,1.915,error
4,2,0,0,2,0,0,0,0,0,3.863,error
4,2,0,1,2,0,0,0,0,0,0.304,error
3,2,0,0,2,0,0,0,0,0,0.0,error
3,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,1,2,0,0,0,0,0,0.185,error
3,2,0,1,2,0,0,0,0,0,1.219,error
3,2,0,0,2,0,0,0,0,0,1.308,error
4,2,0,0,2,0,0,0,0,0,0.436,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,1,2,0,0,0,0,0,0.727,error
3,2,0,1,2,0,0,0,0,0,0.685,error
3,2,0,1,2,0,0,0,0,0,0.40700000000000003,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,1.189,error
4,2,0,0,2,0,0,0,0,0,5.17,error
4,2,0,0,2,0,0,0,0,0,1.156,error
4,2,0,2,2,0,0,0,0,0,0.94,error
2,2,0,0,2,0,0,0,0,0,0.925,error
2,2,0,2,1,0,0,0,0,0,0.0,error
2,1,0,0,2,0,0,0,0,0,0.654,error
4,2,0,2,2,0,0,0,0,0,0.462,error
4,2,0,1,2,0,0,0,0,0,0.297,error
3,2,0,0,2,0,0,0,0,0,0.385,error
4,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,0,2,0,0,0,0,0,0.174,error
4,2,0,0,2,0,0,0,0,0,0.165,error
4,2,0,1,2,0,0,0,0,0,0.409,error
3,2,0,1,2,0,0,0,0,0,0.11599999999999999,error
3,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,1,2,0,0,0,0,0,0.145,error
3,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,0,2,0,0,0,0,0,0.402,error
4,2,0,0,2,0,0,0,0,0,1.965,error
4,2,0,1,2,0,0,0,0,0,1.4669999999999999,error
3,2,0,0,2,0,0,0,0,0,1.7790000000000001,error
4,2,0,0,2,0,0,0,0,0,0.35600000000000004,error
4,2,0,0,2,0,0,0,0,0,0.385,error
4,2,0,1,2,0,0,0,0,0,4.716,error
3,2,0,1,2,0,0,0,0,0,0.0,netplay
3,2,0,0,2,0,0,0,0,0,0.142,error
4,2,0,2,2,0,0,0,0,0,0.193,error
2,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,0,2,0,0,0,0,0,0.545,error
4,2,0,0,2,0,0,0,0,0,0.654,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,0,2,0,0,0,0,0,0.462,error
2,2,0,2,2,0,0,0,0,0,0.462,error
3,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,2,2,0,0,0,0,0,1.516,error
2,2,0,1,2,0,0,0,0,0,1.006,error
3,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,0,2,0,0,0,0,0,0.154,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,0,2,0,0,0,0,0,2.696,error
4,2,0,0,2,0,0,0,0,0,2.115,error
4,2,0,0,2,0,0,0,0,0,0.0,error
4,2,0,1,2,0,0,0,0,0,0.308,error
3,2,0,0,2,0,0,0,0,0,22.561999999999998,error
4,2,0,0,2,0,0,0,0,0,4.6,error
4,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,0,2,0,0,0,0,0,19.702,error
4,2,0,0,2,0,0,0,0,0,8.054,error
4,2,0,0,2,0,0,0,0,0,5.773,error
4,2,0,1,2,0,0,0,0,0,0.0,error
3,2,0,1,2,0,0,0,0,0,4.98,error
3,2,0,0,2,0,0,0,0,0,0.159,error
4,2,0,1,2,0,0,0,0,0,0.308,netplay
4,2,0,1,2,0,0,0,0,0,1.045,error
3,2,0,0,2,0,0,0,0,0,1.329,error
4,2,0,2,2,0,0,0,0,0,0.0,error
2,2,0,1,2,0,0,0,0,0,1.8030000000000002,error
4,2,0,0,2,0,0,0,0,0,5.885,error
