velocity,x_direct,x_distance,y_direct,y_distance,d12,d23,d34,d45,d26,d67,d78,d215,d159,d910,d1011,d1512,d1213,d1314,type
50.055,2,3,2,2,11.045,15,12.042,16.553,7.071,12.369,7.81,19.235,16.492,17.72,20.616,13.601,17.692,21.095,netplay
15.763,3,3,2,2,25.298,11.314,25.298,16,16,16,17.889,32.985,25.298,40.792,32.985,25.298,40,32,netplay
6.146,3,2,2,2,24.352,15,17.889,17.889,15,16,15,16,17,25,23,17,17.464,15,netplay
4.651,3,2,3,2,28.018,11.314,11.314,11.314,9.899,16,17,21.932,15,32.016,24.352,21.213,28.018,28.302,netplay
21.078,3,1,3,2,13.601,12.649,14.765,11.18,12.53,12.649,11.18,31.623,20.616,18.028,30.806,20.518,26.683,16.125,lob
30.312,3,2,2,2,17.263,12.207,29.833,28.302,19.698,18.028,10,43.658,28.32,15.652,34.438,22.472,27.785,16.763,long
57.949,3,2,3,3,21.378,19,24.413,22.561,12.369,18.111,18.028,36.77,18.868,29.732,37.59,18.439,23,37.656,cut
63.126,3,2,3,3,15,12.042,11.402,7.071,12.649,19.313,11.402,19.209,16.492,27.586,26.907,15.811,20.809,26.173,rush
19.615,3,2,3,2,25.298,16,23,8,17.464,17.889,24.352,31,24.352,28.844,34.438,24.352,44.553,34.886,netplay
23.175,3,2,3,2,24.352,0,17.889,15,8,22.627,15,17.889,24.042,21.213,24.352,16.553,31,31,lob
72.412,3,2,3,3,35.341,8,38.601,32.985,8,17,45.793,17,22.627,33.941,38.601,16,32,32.985,long
60.126,3,3,3,3,21.26,13.601,8.246,12.649,15.264,14.318,13.153,19.209,21.19,27.313,29.411,14.036,27.514,26.401,smash
26.096,3,2,3,3,23.195,7.071,20.396,27.203,11.402,23.087,24.042,32.249,28.178,38.079,38.013,17.464,28.231,37.121,netplay
12.574,2,3,2,4,31,15,28.844,17,16,21.932,11.314,24,24.352,21.213,39.812,17,38.601,39,cut
74.821,2,3,2,3,23,11.314,15,16,15,11.314,23,17.464,16.553,24.352,23,17,24.352,24.042,netplay
2.535,3,3,3,3,33.941,17.889,24.352,17.889,17.889,24.352,16,24.352,33.941,28.844,42.154,24,42.154,42.154,lob
50.292,3,3,3,2,25.298,8,17,16,16,17.889,8,16,11.314,25.298,33.242,11.314,25.298,28.844,smash
44.745,3,2,3,3,25.298,17.889,32.016,17,17.889,21.932,10.63,31,17.889,35.777,38.601,22.627,39.408,42.154,drive
21.091,2,3,2,2,13,5.099,5,7.28,15.811,9.849,13.153,27.295,17.117,24.083,20.248,22.204,22.627,30.232,cut
19.939,2,3,2,2,28.018,0,16,16,0,16,24,17.889,17,32.985,32.016,21.932,39.812,39.408,lob
42.892,2,3,2,2,11.18,10.63,8.944,11.402,4.123,9.434,12.806,29.069,23,20.025,26.87,23.324,19.105,29.732,long
25.232,2,4,2,2,25.298,15,17.889,15,11.314,25.298,21.932,24,24,41.785,39.408,24,34.438,25.298,long
33.885,3,3,3,4,28.018,8,32.527,24,17.889,16,8,32.985,28.302,47.676,47,25.298,39.812,35.777,cut
24.141,2,2,2,2,11.314,11.314,16,8,8,17.889,0,16,16,11.314,24.042,22.627,0,27.459,lob
100.801,2,3,2,3,19.416,19.105,25.495,24.207,20,15.652,15.811,39.051,34.059,26.401,38.328,30.083,29.206,40.817,cut
38.099,3,3,2,3,28.844,10.63,46.141,35.777,8,22.627,11.314,24.352,31,40,42.154,28.844,47.676,52.773,long
43.318,3,4,3,2,14.866,14.56,13,10,14.318,8.944,7,25.239,20.616,24.187,28.46,18.248,24.042,24.839,cut
13.097,3,4,3,2,32,16,10.63,11.314,8,24.352,16,23,25.298,24.352,32,25.298,42.154,32.985,netplay
21.98,2,2,2,2,24.352,16,24,21.932,8,8,32.016,16,17,17.889,24.352,17,22.627,23,lob
25.906,3,3,3,3,32.016,7,11.314,25.298,0,17.464,11.314,25,24.352,46.648,41.785,24.042,32,39.408,cut
29.212,2,2,3,3,16,10.63,17.889,17.889,17.889,7,10.63,25.298,17.889,24.042,28.844,17.889,9.899,17.889,lob
45.628,2,2,2,2,24,11.314,21.932,25.298,11.314,24.352,45.793,32.016,25.298,39.812,42.154,24,42.154,42.154,long
43.2,3,5,2,2,8.602,17,13.601,6.708,13.038,15,6,28.601,21.26,25.495,30.15,19.105,18.439,26.627,long
23.945,3,4,3,2,20.125,25.495,29.53,13.153,12.53,10.77,18.439,33.956,24.698,40.311,37.483,21.024,28.284,36.401,long
19.524,3,5,3,2,24,17.464,25.298,17.889,8,21.932,25.298,23,23,33.941,39.205,28.018,45.255,33.242,netplay
25.873,2,2,3,2,14.318,14.422,16.155,12.806,17.117,13.601,16.125,26.306,15.62,18.974,25.495,18.385,19.698,12.369,lob
24.067,2,2,2,3,32.757,17,24,15,8,22.627,27.459,23,25,33.941,39.812,25.298,43.081,34.438,cut
25.635,2,2,2,2,17.464,10.44,18.385,19.313,11.662,9.487,14.213,15,16.125,14.866,22.804,12.042,22.091,7.81,lob
90.14,2,2,2,2,18.788,20.025,27.459,7,18.682,10.44,13.454,43.278,25.495,32.016,45.177,22.204,29.833,31.765,smash
26.963,2,2,2,3,24.352,8,10.63,17.889,16,17.464,28.844,17.464,17.889,10.63,24.352,22.627,25,28.844,netplay
92.052,3,3,3,3,20,22.361,28.178,32.016,19.313,24.042,15.811,42.638,32.802,37.162,36.715,25.71,33.526,34.928,smash
21.794,3,3,3,3,24.042,17,8,17.889,16,11.314,16,16,8,32.527,28.844,11.314,24.352,17.889,netplay
8.996,3,3,3,2,24,8,16,64.498,8,25.298,56,25.298,25,32,8,25,32,40,netplay
17.192,2,2,2,2,16.125,15.232,14,14.765,11.402,9.849,10.198,16.031,12.53,13.416,19.416,10.63,11.402,6.708,lob
21.211,3,3,3,4,17.889,11.314,21.932,15,15,11.314,10.63,17,8,17.889,23,17,28.844,28.018,netplay
24.078,2,2,2,2,24,7,24.352,21.932,8,11.314,15,25,23,33.242,21.932,23,40,38.601,lob
90.519,2,3,2,2,13.153,13.454,12.042,14.765,12.207,18.028,13.601,31.257,18.385,20.881,12.728,18.601,25.962,29.206,smash
36.503,2,4,2,3,21.095,10.77,19.026,24.083,6.708,24.739,25.495,35.355,24.187,30.871,53.151,23.707,33.838,38.626,lob
81.108,3,3,2,2,15.652,17.117,10.63,16.031,17.464,17.464,11.18,28.284,19.849,30.083,23.087,19.416,24.331,18.601,smash
43.206,3,3,3,3,32.757,16,15,17.889,16.553,16,8,24.352,17.889,43.841,33.242,25.298,27.459,35.777,lob
65.474,3,3,2,2,18.028,14.866,20.616,13.928,11.705,11,17.464,26.173,15.264,27.586,26,20.809,23.854,22.472,drive
18.05,2,3,2,2,32,11.314,25.298,24,8,17.889,17,28.018,17.889,40,32.016,22.627,33.941,39.408,cut
7.005,2,2,2,2,13.153,14.213,12.649,11.662,15.297,15,10.05,30.067,17.804,20.248,27.659,19.209,21.378,6.708,netplay
11.294,2,2,2,2,21.932,8,17.889,0,11.314,16,17.889,28.844,17.889,31,38.601,17,25.298,32.527,lob
35.282,2,3,2,2,23.087,11.662,23.537,16.763,6.708,22.361,25.612,31.623,28.844,33.615,36.235,22.023,31.241,37,lob
78.911,2,3,2,3,13,22.847,7.071,12.083,14.142,10.44,10.198,27.313,20.616,28.636,31.623,19.647,23.537,30.676,smash
17.241,2,3,2,3,19.698,17.029,24.759,24.083,17.72,25.08,11.705,37.59,21.213,36,36.797,34,32.802,32.202,netplay
23.874,3,2,3,2,25.298,7,15,24.352,0,17,11.314,21.213,17.889,28.018,17.464,16,24.352,11.314,lob
30.087,3,2,2,3,23.77,9,22.804,26.926,8.944,8.944,13.601,41.725,17.889,36.139,40.012,12.166,25.71,38.833,long
62.081,3,3,2,3,10.44,17.088,8.062,12.53,6.708,19.026,8.246,32.45,18.868,21.095,28.636,17.088,26.019,26.249,long
22.335,3,3,3,2,32,16,24.352,17.889,16,24.352,17,28.844,24,42.154,42.72,28.302,28.844,39.205,cut
25.94,3,2,3,2,12.53,15,15.033,17.029,8.246,15.232,12.53,33.601,16.125,18.601,28.16,13.153,19.209,15.811,lob
50.052,3,2,2,3,23.087,18.788,17.029,15.524,8.944,10.198,19.026,35.805,26.173,32.558,41.195,20.025,25.495,23.601,smash
18.982,2,3,2,3,22.627,8,17.464,23,11.314,24.352,31.048,16.553,15,28.018,21.932,21.932,22.627,31.828,netplay
3.783,2,3,2,2,24.352,8,8,24.352,17,17.889,15,23,28.844,24.352,31,24,23,38.833,netplay
5.157,2,3,2,2,16,11.314,21.932,17.889,15,11.314,17,16,17,35.777,0,17,17.464,16,netplay
60.213,2,4,2,2,14.318,17.263,13.038,11.402,16.279,10.05,11.402,29.155,19.799,25.08,25.179,19.235,21.024,26.019,smash
27.644,2,3,2,2,32.527,11.314,11.314,21.932,8,34.886,23,28.844,21.932,32.016,34.886,17,44.553,34.886,lob
29.202,2,4,2,2,13.153,12.207,9,18.439,6.403,9.899,16.401,24.021,23.087,24.515,26.173,21.19,27,25.495,cut
7.047,2,3,2,2,20.248,13.038,17.493,14.213,12.042,18,19.313,40.311,21.633,30.414,31.765,21.213,33.121,31.241,netplay
4.569,2,2,2,2,13.153,14.213,12.649,11.662,15.297,15,10.05,30.067,17.804,20.248,27.659,19.209,21.378,6.708,netplay
17.034,2,2,2,1,17.889,17.889,17.889,8,8,17.889,7,28.844,17,22.627,22.627,15,35.777,33.242,lob
48.664,3,4,2,2,32.016,8,28.302,17.464,8,35.341,10.63,21.932,24,32.757,28.844,28.844,40,40.792,cut
28.896,3,3,2,3,25.298,8,21.932,8,0,15,17.889,11.314,21.932,28.844,21.932,15,22.627,31,netplay
16.594,3,3,3,2,24,15,32,25.298,8,22.627,22.627,25.298,24,32.527,40,28.844,39.205,33.941,netplay
21.515,2,2,3,2,17.889,16,16,21.932,8,24,28.302,16,17.889,11.314,28.302,16,15,17.889,lob
33.594,2,2,2,3,18.028,17.464,28.231,18.358,16,17,19.416,43.932,30.806,33.734,40.012,23.345,31.385,33.941,long
27.786,2,4,2,2,12.083,15.232,12.369,13.416,14.866,14.866,5,31.016,18.601,14.866,18.028,18.028,18,29.206,cut
5.173,2,3,2,2,21.84,11,16.763,13.454,7,10.296,13.038,38.013,20.616,25.495,29.547,18.111,34.525,30.232,netplay
21.781,2,1,2,2,17.889,11.314,17.889,21.932,15,15,22.627,17.464,17.464,25.298,25.298,17.889,32.985,32.985,lob
54.923,3,2,3,3,24,11.314,32,24.352,17.889,8,22.627,31,25.298,40,42.154,25.298,28.302,39.205,cut
22.388,3,3,3,3,18.111,15.62,23.087,16.031,17.117,19.723,15.524,27.295,19.105,22.672,29.732,23.022,20.224,21.633,netplay
18.589,3,3,3,2,25.298,11.314,8,11.314,7,23,0,24,17.889,17.889,25.298,17.464,35.777,32,lob
6.725,3,2,3,3,24.352,17,28.844,24.042,17.889,28.302,11.314,32,27.459,39,31,24.352,39.812,39,netplay
18.096,3,2,2,2,24.352,8,10.63,24.352,16,15,17.889,8,17,23,23,17,24.352,24.352,lob
12.938,3,2,2,1,32.527,16.553,21.932,15,10.63,17.889,15,24.042,21.932,38.639,23,15,31,30,netplay
14.553,3,3,2,2,27.459,11.314,8,32.985,16,17,7,17.889,23,39,38,28.018,39,38.833,long
23.84,3,3,3,2,24,17,16,17,8,24,17.889,24,28.302,32.016,40.792,24,44.553,42.72,lob
28.286,3,3,3,2,15.811,13.416,14.036,10.296,13.928,10.63,13.153,24.083,27.803,23.022,29.12,23.022,23.259,25.612,cut
14.129,3,3,3,2,24,11.314,21.932,22.627,16,17.889,17.889,23,25.298,35.777,31,25.298,22.627,23,netplay
19.924,2,2,3,2,19.235,11.402,14.422,15.811,10.63,11.045,16.553,18.974,16.401,17.493,28.636,12.728,21.932,10.817,lob
31.545,2,2,2,3,32.527,11.314,55.154,24,10.63,33.242,24,22.627,24,43.081,32.527,28.302,40,47.676,cut
12.146,2,2,2,3,14.318,12.53,19.313,24.597,11.402,17.117,20.224,11,10.63,16.643,16.763,10.63,12.083,12.53,netplay
20.888,2,3,2,2,24,17,0,15,11.314,23,17,25.298,25,17.889,16,25.298,28.302,32,lob
83.473,2,3,2,2,14.866,8.944,16.125,17.464,7.211,16.492,10.817,20,18.788,22.361,18.385,19.209,16.401,21.024,cut
15.293,2,2,3,2,21.095,16.125,19.723,17.804,13.601,15,9.899,34.54,16.125,22.204,26.173,16.125,22.361,29.275,long
66.504,3,3,3,3,13.601,12.083,19.313,18.111,7,8.544,8.602,35.847,16.553,21.587,22.627,16.279,24.352,30.067,smash
22.979,3,3,3,2,28.018,11.314,33.242,21.932,17.889,32.985,16,28.018,17.889,35.341,44.553,28.844,33.242,39.408,netplay
18.013,3,2,3,2,21.932,0,17,17.889,0,15,0,10.63,17.889,17.889,24.352,16,16,23,lob
21.157,3,2,3,3,17,0,21.213,11.314,8,11.314,21.213,21.932,11.314,28.302,27.459,17.889,16.553,25.298,lob
44.255,3,2,3,3,32,16,28.018,8,15,16,17.889,24,25.298,47.676,40.792,25.298,45.277,43.081,long
71.017,3,4,3,3,14.866,16.155,16.125,9.22,12.166,15.033,13.892,38.833,17.029,22.561,29.069,13.928,18.682,24.083,smash
15.099,3,2,2,2,25,7,16.553,17,8,17.464,15,17,24,31,25.298,25.298,31,31,long
63.807,2,2,2,3,25.495,17.263,9,18.028,28.425,8.944,18.028,36.249,32.249,31.048,37.336,31.321,36.674,37.121,smash
20.11,2,3,2,3,25,15,15,8,16,16,17.889,17,11.314,21.932,32.016,11.314,28.844,27.459,netplay
22.592,2,2,2,2,23,7,17.889,11.314,8,16,10.63,25,28.018,34.886,22.627,24.352,39.812,17.889,lob
48.005,2,3,2,2,11.18,10.817,15.524,11.402,10.817,15.232,14.56,29.017,16.125,19.235,18.028,18.682,23.707,27.203,cut
14.54,2,3,3,2,25.298,17,28.018,8,11.314,21.932,22.627,32,28.302,32.757,28.302,25.298,32.985,40,netplay
16.58,3,2,3,2,15.133,10,19.235,16.155,3.162,13.454,11.705,25.318,15.652,18.788,30.083,10.296,21.024,23.195,lob
14.864,2,2,3,2,17,17.889,16.401,18.028,18.111,10.296,9.22,31.78,19.698,22.204,22.023,19.235,24.021,29.833,long
59.035,3,3,3,3,28.844,8,44.553,48,8,39.408,17.889,32.985,25.298,48.508,40.608,24,40.792,40,long
30.82,3,3,3,3,15.133,11.705,24.413,21.213,12.207,19.209,15.297,35.355,17.117,25.632,33.242,19.723,24.331,26.571,long
27.639,3,3,3,2,19,22.361,24.083,18.974,18.439,15.811,14.765,36.346,31.385,37.014,30,26.926,31.145,26.173,cut
38.695,2,3,2,5,34.886,17,27.459,27.459,11.314,8,8,28.302,27.459,41.785,44.777,24.352,47,41.785,long
34.575,2,5,2,2,25.298,17.889,17.889,25.298,11.314,16,17.889,17.889,17.889,22.627,24,16,32,32.985,cut
23.818,2,3,3,2,32.985,17.889,10.63,16,17.889,17.889,11.314,17,17.889,28.844,17.889,17.889,28.844,34.886,lob
31.597,3,5,3,2,25.298,8,10.63,7,0,17.889,8,17.889,17.464,16,25,17.889,17.889,21.932,long
30.334,3,3,3,3,31,17.889,32,15,16,21.932,17,31,24,42.154,32.016,28.844,32.016,38.601,cut
7.768,3,2,3,3,17,0,11.314,10.63,8,17,23,22.627,16.553,27.459,24.352,16.553,17.889,17.464,netplay
5.049,3,2,3,1,31,8,17,8,16,21.932,8,23,24.352,11.314,23,24.352,28.018,31,netplay
4.298,3,2,3,1,16.492,13.454,15.811,21.024,8.062,17.205,16.155,34.409,19.235,24.207,32.062,16.492,27.166,26.173,netplay
16.58,3,2,3,1,32.016,8,66.611,30,16.553,17.889,8,31,17,24.352,17.464,17,34.438,24.352,lob
57.782,3,2,3,3,35.777,17,22.627,24.042,11.314,8,34.438,24.042,28.844,47.676,39.812,24,47,39.623,cut
45.974,3,2,3,3,14.866,14.036,16.763,26,6.325,12,11.045,31.145,19.416,26.173,27.203,9.434,22.672,28.636,lob
43.135,3,2,3,2,16.279,21.541,14.866,18.385,15,13.038,16.031,37.443,25.612,39,30.265,21.095,31.064,27.166,smash
14.452,2,3,3,2,25.298,11.314,17,17.889,15,25.298,17.889,25,23,32.757,31,28.018,40,32.016,long
30.046,2,4,2,2,21.932,8,21.932,10.63,10.63,16,17.464,17.889,17.889,28.302,23,24,24.352,32.757,cut
9.826,3,3,3,2,28.302,11.314,17.889,17.889,16.553,25.298,11.314,10.63,24.352,24.042,23,28.844,28.018,24.352,netplay
53.72,2,3,2,3,33.242,10.63,34.886,16,11.314,17,16,24.042,33.242,45.277,42.72,25.298,39.812,39.408,smash
21.178,2,2,2,3,17.804,7.81,19.416,17.72,10.63,25.298,15.652,23.77,12.728,24,26.87,29.155,18.439,34.176,netplay
35.536,2,3,2,2,25.298,16,25.298,16,11.314,22.627,25.298,28.844,22.627,35.777,16,24,32.985,32.985,rush
13.413,3,2,3,2,23.409,12.042,27.019,15.232,6.708,6.403,14.318,17.263,19.849,17.205,31.78,17.263,26.019,27.893,netplay
23.631,3,3,3,2,25,17,11.314,17.889,8,28.844,17.889,24,24.042,22.627,17.889,24.352,25.298,32.016,lob
71.262,2,3,3,2,16.553,12.53,22.804,17.029,11.402,21.378,11.045,27.166,14.765,21.401,25.612,16.155,28.231,26.401,smash
28.93,2,3,2,2,34.886,7,11.314,23,8,24,24.352,23,28.302,38.833,33.941,24,34.886,38,lob
28.376,2,3,2,2,24.352,8,16,11.314,8,17,17.889,15,17.889,15,23,17.889,23.409,24.352,cut
24.362,2,3,2,2,18.974,7.616,17,16.155,16.125,14.318,19.313,42.059,17.464,24.515,28.178,25.179,25.962,29.155,lob
30.713,2,4,2,2,19.698,9.22,19,16.031,12.042,15.033,14.318,29.411,18.868,17.263,19.105,17,29.155,23.601,cut
24.179,3,4,3,2,32.985,17.889,17.464,22.627,17.889,25.298,11.314,15,25.298,17.889,17.889,22.627,25.298,24.352,lob
32.619,2,4,3,2,12.207,7.071,8.602,12.806,6.325,18.788,10.817,33.061,17.029,22.672,22.825,19.925,26.019,26.683,cut
23.81,3,4,3,2,24,10.63,17.889,11.314,16,21.932,17.889,24.352,17.889,17.889,24.352,17.889,24.352,24,lob
25.632,3,3,3,3,31,17,24,11.314,16,22.627,11.314,24,23,49.82,39,28.018,39.812,39.408,cut
15.912,3,2,3,3,14.56,13.601,24.083,20.809,5.831,14.142,7,32.558,12.369,22.804,25.807,11.705,23.345,32.14,netplay
12.999,3,2,2,1,16.553,10.44,13.601,16.401,17.263,11.662,18.385,37.483,24.413,26.306,29.206,27.166,23.601,27.203,lob
21.936,3,3,2,2,28.302,0,17,25.298,7,24.042,16,24.352,22.627,39.205,39.205,17.889,38.601,40.792,netplay
24.49,2,2,2,2,17.464,13.454,17.889,21.19,16,19.235,19.105,25.71,13,17.493,32.14,19.105,35.511,14.318,lob
14.896,2,2,3,2,17.889,8,7,17.889,16,11.314,10.63,17,24,31,25.298,28.844,31,32.016,long
64.911,3,3,3,3,39.205,11.314,28.018,25.298,11.314,24,17.889,25.298,33.941,47.676,39,24,55.579,31,cut
32.929,3,3,3,3,21.932,16.553,17.464,0,9.899,16,27.459,17,22.627,28.018,21.932,17.889,24.352,21.932,lob
46.008,3,3,2,3,23.77,16.279,22.672,26.571,9.434,13.038,12.042,34.928,20.809,32.249,37.643,23.087,28.018,31.145,cut
17.889,2,2,2,3,25.298,16,17.464,11.314,16,16.553,24,24.352,11.314,34.886,39.408,17.889,17,40.792,netplay
12.946,2,2,2,2,28.844,10.63,22.627,43.081,8,22.627,17.889,24.352,25.298,32,28.302,17.889,17.889,25.298,netplay
22.789,3,1,2,2,14.318,10.77,13.342,17.464,12.042,12.042,9.055,27.731,19.849,21.471,29.411,14.036,21.095,25.179,lob
43.626,3,2,3,3,35.777,17,25.298,28.844,8,8,32,24,24,41.785,40,28.844,42.154,33.242,long
24.497,3,4,3,2,14.318,13.454,14.866,15.264,12.166,17.205,12.042,29.069,17.692,24.083,35.355,17.72,22.561,19.723,cut
7.817,3,3,3,2,32.016,8,25.298,8,15,17.889,8,17.464,16.553,17.889,23,17,25.298,32.016,netplay
11.033,3,2,3,2,15.297,12.806,25.02,17.088,8.485,17.464,16.125,33.422,15.62,21.932,30.806,15.133,22.023,24.597,lob
66.004,2,4,3,2,17.493,11,23.259,18.439,13.454,20.224,10.198,27.459,15,19.698,15.133,18.028,22.472,32.249,smash
17.223,2,4,2,2,32.016,16,17.464,25.298,7,22.627,17,24.352,33.242,34.886,44.553,28.018,46.141,39.812,netplay
16.297,2,2,2,2,14.036,16.401,14.142,12.042,20.025,15.232,17.889,28.16,14.765,18.385,30.414,19.209,25.962,13.928,netplay
9.702,2,2,3,1,32.985,17.889,11.314,17.889,17,17.889,16,17.464,25,25.298,8,17.889,28.844,25.298,netplay
53.687,2,3,2,3,40,11.314,28.844,32.985,11.314,17.889,16,25.298,33.941,48.662,40.792,25.298,50.596,32.985,long
75.577,2,3,2,3,18.868,10.05,21.932,18.868,7.81,20.248,16.971,26.249,15.264,21.095,24.166,14.866,29.428,27.659,smash
23.056,2,3,2,2,35.777,17.889,17.464,17.889,15,21.932,10.63,24,25.298,41.785,35.777,28.302,34.438,43.081,lob
40.386,3,2,3,3,23.409,19.925,27.857,21.024,12.207,12.649,30.017,36.62,27.459,38.118,39.115,26.683,42.19,38.328,long
31.209,2,4,2,2,16.401,9.487,12.728,11.18,10,9.055,17.263,35.355,20.125,16.643,15.811,19.647,18.248,33.956,cut
25.389,2,3,2,2,25.298,7,24.042,7,7,24,11.314,31.78,15,28.302,21.213,15,39,28.302,lob
23.936,2,3,2,2,17.889,8,8,16,11.314,17.889,17.889,16,17.464,24,28.844,17.464,24,28.844,cut
6.59,2,3,2,2,32,17,7,15,11.314,23,15,32.016,17.464,41.785,28.018,25.298,31,28.018,netplay
5.69,2,2,2,2,18.248,16.643,18.028,17.804,16,20.224,15.524,23.77,16.279,22.204,21.26,20.518,25.612,20.591,netplay
18.662,2,2,2,2,23.409,11.18,18.028,18.788,14.866,15.264,27.019,41.869,23.854,23.087,28.844,24.083,26.476,25,lob
27.521,2,3,2,2,28.844,8,23,17.889,10.63,25.298,17,28.018,22.627,45.793,34.886,24.352,35.777,34.886,lob
60.878,2,3,2,2,23,0,11.314,11.314,8,16,8,16,15,24.352,15,17,24.352,32.527,smash
35.532,2,3,2,2,32.016,17.889,17.889,15,15,28.018,17,25,24.042,42.154,39.408,28.018,35.341,39.623,lob
75.39,2,3,2,2,18.601,16.125,17.889,17.464,9.22,18.682,15.232,27.857,15.556,29.069,18.028,19.235,24.166,34,smash
21.432,2,3,2,2,32.985,8,28.018,24.352,8,17,24,21.932,22.627,46.141,33.242,28.844,39.205,40.792,netplay
28.656,2,2,2,2,20.396,13.892,15,15.232,12.042,18.439,16.643,25,15.524,19.105,28.862,19.849,14.866,21.932,lob
27.301,2,3,2,2,32.757,17.889,17.889,17,15,17.889,8,24.042,17.464,32.985,32.016,17.889,43.081,34.438,cut
15.222,2,2,2,2,24,11.314,11.314,17.889,15,8,17.889,17.889,17.889,24.352,25.298,10.63,22.627,17,netplay
17.519,2,2,3,1,32,11.314,22.627,11.314,16,24,17.889,25.298,16,33.242,22.627,22.627,32.016,28.844,lob
37.199,2,4,2,2,13.892,15.133,18.028,10.77,13.601,10.44,9.899,32.573,18.358,20.224,27.166,18.682,21.587,30.594,long
41.337,3,3,3,3,32.985,10.63,25.298,22.627,16,25.298,11.314,24.352,24,46.141,31,28.844,25.298,28.844,cut
28.531,3,2,3,3,17,8,24,8,8,17.889,17.889,23,17.889,28.018,34,16,23,21.213,netplay
69.514,3,5,3,2,17.692,14.866,26.306,18,18.111,14.422,12.166,27.295,19.209,24.698,20.591,18.974,20.396,25.298,smash
18.685,3,3,3,2,28.018,11.314,28.302,24,17,17.889,8,27.459,22.627,34.886,39.205,32.985,39.205,34.886,netplay
60.621,2,3,2,3,35.777,17,28.302,16,17.889,16.553,8,34.438,21.932,56.569,39.623,25.298,48,34.438,cut
18.835,3,3,2,3,21.932,0,17.889,17.889,8,11.314,11.314,22.627,17,22.627,28.018,11.314,28.018,28.018,netplay
25.286,3,3,3,2,32.985,22.627,15,16,15,28.844,8,32,16,28.018,21.932,21.932,34.886,24,lob
47.968,2,3,2,2,13,10.44,9.849,14.142,5,17.117,16.763,31.145,16,16.553,25,15.524,22.091,27.803,cut
46.045,2,3,3,2,27.459,17.889,24.352,24.352,16,24.352,8,28.844,23,38.601,39.205,21.213,39.205,43.841,lob
31.778,3,3,3,2,18.028,10,21.471,20.248,10.77,19.849,9.849,34.713,17.029,21.213,37.121,20.616,24.331,26,long
40.405,3,3,2,3,46,15,21.213,7,8,24.352,8,17.889,17.889,42.154,38.601,21.932,52.326,39,long
24.792,2,3,2,3,25.298,10.63,22.627,17.889,8,24,15,17.464,17.889,25.298,16,16,32.985,35.341,cut
28.087,2,3,2,2,28.302,8,24.352,16,10.63,17.464,22.627,32.016,17,35.777,28.018,15,32.985,34.886,lob
30.957,3,4,2,2,16.279,12.083,16.279,13.454,11,7.071,15.297,31.241,17.804,24.352,33.136,18.248,20.396,22.023,long
19.298,3,2,3,4,10.63,0,16,0,0,17.889,17.889,17.889,10.63,21.213,16,17,27.459,138.636,netplay
15.024,2,2,2,2,33.941,8,22.627,40,0,22.627,22.627,25.298,22.627,35.341,40,17.889,25.298,28.844,netplay
28.635,2,2,2,2,20.025,13.416,18,15.297,18.682,14.422,13.038,29.155,17,21.024,30.806,16.279,24.187,16.643,rush
14.885,2,2,3,2,25.298,8,17.464,24.042,0,16.553,15,15,24,31,28.302,25.298,31,31,long
58.779,3,3,3,4,32.985,16,17,8,28.844,21.932,8,35.777,27.459,40.792,32.016,32.016,40.792,34.438,cut
